name,company,title,email,phone,city,market,segment,category,industry,source,listing_count,contact_readiness
,HOMELIFE LANDMARK REALTY INC.,Rental real estate contact,,,London,london_middlesex,rental,rental_company,Rental Real Estate,listing_market_export,4,needs_contact_enrichment
,HOMELIFE/CIMERMAN REAL ESTATE LIMITED,Rental real estate contact,,,London,london_middlesex,rental,rental_company,Rental Real Estate,listing_market_export,1,needs_contact_enrichment
,HOMELIFE/FUTURE REALTY INC.,Rental real estate contact,,,London,london_middlesex,rental,rental_company,Rental Real Estate,listing_market_export,2,needs_contact_enrichment
,HOMELIFE/GTA REALTY INC.,Rental real estate contact,,,London,london_middlesex,rental,rental_company,Rental Real Estate,listing_market_export,1,needs_contact_enrichment
,ICI SOURCE REAL ASSET SERVICES INC.,Rental real estate contact,,,London,london_middlesex,rental,rental_company,Rental Real Estate,listing_market_export,1,needs_contact_enrichment
,INTERCITY REALTY INC.,Rental real estate contact,,,London,london_middlesex,rental,rental_company,Rental Real Estate,listing_market_export,1,needs_contact_enrichment
,Interrent Holdings Manager Limited Partnership,Rental real estate contact,,(833) 284-7368,London,london_middlesex,rental,rental_company,Rental Real Estate,listing_market_export,1,direct_contact_available
,KELLER WILLIAMS REFERRED URBAN REALTY,Rental real estate contact,,,London,london_middlesex,rental,rental_company,Rental Real Estate,listing_market_export,1,needs_contact_enrichment
,KING REALTY INC.,Rental real estate contact,,,London,london_middlesex,rental,rental_company,Rental Real Estate,listing_market_export,6,needs_contact_enrichment
,Kipling Group Inc.,Commercial real estate contact,,,London,london_middlesex,commercial,commercial_company,Commercial Real Estate,listing_market_export,1,needs_contact_enrichment
,Marcus & Millichap,Commercial real estate contact,,,London,london_middlesex,commercial,commercial_company,Commercial Real Estate,listing_market_export,1,needs_contact_enrichment
,Medallion Corporation,Rental real estate contact,,2267859985,London,london_middlesex,rental,rental_company,Rental Real Estate,listing_market_export,1,direct_contact_available
,Metcap Living,Rental real estate contact,,12495085974,London,london_middlesex,rental,rental_company,Rental Real Estate,listing_market_export,1,direct_contact_available
,Metra Leasing,Rental real estate contact,,,London,london_middlesex,rental,rental_company,Rental Real Estate,listing_market_export,1,needs_contact_enrichment
,North Woods Village Limited Partnership,Rental real estate contact,,(519) 913-0800,London,london_middlesex,rental,rental_company,Rental Real Estate,listing_market_export,1,direct_contact_available
,Pier 4,Rental real estate contact,,(833) 958-5364,London,london_middlesex,rental,rental_company,Rental Real Estate,listing_market_export,9,direct_contact_available
,RC BEST CHOICE REALTY CORP,Rental real estate contact,,,London,london_middlesex,rental,rental_company,Rental Real Estate,listing_market_export,1,needs_contact_enrichment
,RE/MAX ABOUTOWNE REALTY CORP.,Rental real estate contact,,,London,london_middlesex,rental,rental_company,Rental Real Estate,listing_market_export,1,needs_contact_enrichment
,RE/MAX COMMUNITY REALTY INC.,Rental real estate contact,,,London,london_middlesex,rental,rental_company,Rental Real Estate,listing_market_export,1,needs_contact_enrichment
,RE/MAX EXPERTS,Rental real estate contact,,,London,london_middlesex,rental,rental_company,Rental Real Estate,listing_market_export,2,needs_contact_enrichment
,RE/MAX GOLD REALTY INC.,Rental real estate contact,,,London,london_middlesex,rental,rental_company,Rental Real Estate,listing_market_export,3,needs_contact_enrichment
,RE/MAX METROPOLIS REALTY,Rental real estate contact,,,London,london_middlesex,rental,rental_company,Rental Real Estate,listing_market_export,1,needs_contact_enrichment
,RE/MAX MILLENNIUM REAL ESTATE,Rental real estate contact,,,London,london_middlesex,rental,rental_company,Rental Real Estate,listing_market_export,1,needs_contact_enrichment
,RE/MAX REALTRON REALTY INC.,Rental real estate contact,,,London,london_middlesex,rental,rental_company,Rental Real Estate,listing_market_export,5,needs_contact_enrichment
,RE/MAX REALTY SERVICES INC.,Rental real estate contact,,,London,london_middlesex,rental,rental_company,Rental Real Estate,listing_market_export,4,needs_contact_enrichment
,RE/MAX REALTY SPECIALISTS INC.,Rental real estate contact,,,London,london_middlesex,rental,rental_company,Rental Real Estate,listing_market_export,2,needs_contact_enrichment
,REAL ONE REALTY INC.,Rental real estate contact,,,London,london_middlesex,rental,rental_company,Rental Real Estate,listing_market_export,1,needs_contact_enrichment
,Realrent,Rental real estate contact,,6478725226,London,london_middlesex,rental,rental_company,Rental Real Estate,listing_market_export,1,direct_contact_available
,Redwater Capital,Commercial real estate contact,,,London,london_middlesex,commercial,commercial_company,Commercial Real Estate,listing_market_export,7,needs_contact_enrichment
,Regus Group Companies,Commercial real estate contact,,,London,london_middlesex,commercial,commercial_company,Commercial Real Estate,listing_market_export,16,needs_contact_enrichment
Rent Panda Rent Panda,Rent Panda,Rental real estate contact,,,London,london_middlesex,rental,rental_company,Rental Real Estate,listing_market_export,1,needs_contact_enrichment
,RIGMAXX REALTY INC.,Rental real estate contact,,,London,london_middlesex,rental,rental_company,Rental Real Estate,listing_market_export,1,needs_contact_enrichment
,ROYAL LEPAGE CERTIFIED REALTY,Rental real estate contact,,,London,london_middlesex,rental,rental_company,Rental Real Estate,listing_market_export,1,needs_contact_enrichment
,ROYAL LEPAGE FLOWER CITY REALTY,Rental real estate contact,,,London,london_middlesex,rental,rental_company,Rental Real Estate,listing_market_export,2,needs_contact_enrichment
,SAPPHIRE REAL ESTATE INC.,Rental real estate contact,,,London,london_middlesex,rental,rental_company,Rental Real Estate,listing_market_export,1,needs_contact_enrichment
,SIGNATURE REALTY POINT,Rental real estate contact,,,London,london_middlesex,rental,rental_company,Rental Real Estate,listing_market_export,1,needs_contact_enrichment
,SIXROOFS REALTY,Rental real estate contact,,,London,london_middlesex,rental,rental_company,Rental Real Estate,listing_market_export,1,needs_contact_enrichment
,SUMMIT REALTY EXPERTS INC.,Rental real estate contact,,,London,london_middlesex,rental,rental_company,Rental Real Estate,listing_market_export,2,needs_contact_enrichment
,SUTTON GROUP REALTY SYSTEMS INC.,Rental real estate contact,,,London,london_middlesex,rental,rental_company,Rental Real Estate,listing_market_export,1,needs_contact_enrichment
,TEAM PANAG REAL ESTATE INC.,Rental real estate contact,,,London,london_middlesex,rental,rental_company,Rental Real Estate,listing_market_export,1,needs_contact_enrichment
,The Behar Group,Commercial real estate contact,,,London,london_middlesex,commercial,commercial_company,Commercial Real Estate,listing_market_export,5,needs_contact_enrichment
,Vantage Property,Rental real estate contact,,,London,london_middlesex,rental,rental_company,Rental Real Estate,listing_market_export,14,needs_contact_enrichment
,Vital Infrastructure Property Trust,Commercial real estate contact,,,London,london_middlesex,commercial,commercial_company,Commercial Real Estate,listing_market_export,4,needs_contact_enrichment
,Signet Group Inc.,Rental real estate contact,,2262412521,Kitchener | Woodstock,waterloo_region | woodstock_oxford_county,rental,rental_company,Rental Real Estate,listing_market_export,16,direct_contact_available
,Greenwin,Rental real estate contact,,,Kitchener,waterloo_region,rental,rental_company,Rental Real Estate,listing_market_export,7,needs_contact_enrichment
MARDA,,Rental real estate contact,,,Windsor,windsor_essex,rental,rental_company,Rental Real Estate,listing_market_export,1,needs_contact_enrichment
,Cushman & Wakefield ULC,Commercial real estate contact,,,Windsor,windsor_essex,commercial,commercial_company,Commercial Real Estate,listing_market_export,1,needs_contact_enrichment
,NORTH 2 SOUTH REALTY,Rental real estate contact,,,Windsor,windsor_essex,rental,rental_company,Rental Real Estate,listing_market_export,1,needs_contact_enrichment
,ROYAL LEPAGE IGNITE REALTY,Rental real estate contact,,,Windsor,windsor_essex,rental,rental_company,Rental Real Estate,listing_market_export,1,needs_contact_enrichment
,ROYAL LEPAGE SIGNATURE REALTY,Rental real estate contact,,,Windsor,windsor_essex,rental,rental_company,Rental Real Estate,listing_market_export,1,needs_contact_enrichment
,Signature Elite Realty Ltd.,Rental real estate contact,,,Windsor,windsor_essex,rental,rental_company,Rental Real Estate,listing_market_export,1,needs_contact_enrichment
